file_date,file_time,frame_type,n_mas,board_time,data_frames_num,pl0,voltage0,current0,input_states0,output_states0,temperature0,pl_errors_num0,pl_errors0,pl_status0,pl1,voltage1,current1,input_states1,output_states1,temperature1,pl_errors_num1,pl_errors1,pl_status1,pl2,voltage2,current2,input_states2,output_states2,temperature2,pl_errors_num2,pl_errors2,pl_status2,pl3,voltage3,current3,input_states3,output_states3,temperature3,pl_errors_num3,pl_errors3,pl_status3,pl4,voltage4,current4,input_states4,output_states4,temperature4,pl_errors_num4,pl_errors4,pl_status4,pl5,voltage5,current5,input_states5,output_states5,temperature5,pl_errors_num5,pl_errors5,pl_status5,pl6,voltage6,current6,input_states6,output_states6,temperature6,pl_errors_num6,pl_errors6,pl_status6,pl7,voltage7,current7,input_states7,output_states7,temperature7,pl_errors_num7,pl_errors7
20201031,14144,data_frame,8,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,8,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,tm_frame,9,657382,1,4,5.0,0.812,112,8,5,0,0,1,4,5.0,0.75,113,15,5,1,4096,3,4,5.0,0.75,113,15,5,1,4096,3,4,5.0,0.75,113,15,6,1,4096,3,4,5.0,0.812,113,15,6,1,4096,3,4,5.0,0.812,113,15,7,1,4096,3,4,5.0,0.812,113,15,7,1,4096,3,4,0.125,0.0,1,15,8,1,4096
20201031,14144,data_frame,9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,tm_frame,10,657666,13,1,0.125,0.0,15,15,15,0,0,0,2,0.125,0.0,15,15,12,0,0,0,1,5.0,0.438,127,14,15,0,0,1,2,5.0,0.375,127,14,12,0,0,1,1,5.0,0.438,112,7,17,0,0,1,2,5.0,0.312,112,7,14,0,0,1,1,0.062,0.0,15,15,29,0,0,0,2,0.125,0.0,15,15,27,0,0
20201031,14144,data_frame,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201031,14144,data_frame,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
